employee_id,hire_date,termination_date,org_l01,gender,ethnicity,job_level,ethnicity_is_underrepresented_minority,org_l00,org_l02,org_l03,termination_date_clean,termination_reason,is_termination_voluntary,job_level_category,job_level_category_ordered_w_indicators,job_track,job_level_idx,is_manager_track,employee_tenure_current_month_year,employee_tenure_duration_bucket,gender_remapped,ethnicity_remapped
e000021,2014-05-23,2018-07-09,Administrative,Male,White,S1,FALSE,Company Inc.,People,People Analytics,2018-07-09,Leadership,TRUE,Support,01--Support (S1-3),S,1,FALSE,6.448585231,05--4+ years,Male,00--White
e000022,2014-05-26,,Administrative,Male,White,IC5,FALSE,Company Inc.,Finance,Accounting,2999-12-31,,,Senior,03--Senior (IC4-5),IC,5,FALSE,10.6031746,05--4+ years,Male,00--White
e000023,2014-05-12,2018-09-27,Administrative,Male,White,IC3,FALSE,Company Inc.,Legal,Corporate,2018-09-27,Conflict with Work Location / Return to Work,TRUE,Associate,02--Associate (IC1-3),IC,3,FALSE,6.227743271,05--4+ years,Male,00--White
e000024,2014-05-13,2020-06-24,Administrative,Non-binary,White,M5,FALSE,Company Inc.,Risk Management,Enterprise Risk Management,2020-06-24,Company Culture,TRUE,Manager,06--Manager (M4-6),M,5,TRUE,4.472049689,05--4+ years,Female/Non-binary,00--White
e000025,2014-05-27,2019-01-22,Administrative,Male,White,IC2,FALSE,Company Inc.,Risk Management,Operational Risk,2019-01-22,Compensation/Benefits,TRUE,Associate,02--Associate (IC1-3),IC,2,FALSE,5.904761905,05--4+ years,Male,00--White
e000026,2014-05-06,,Administrative,Male,White,IC3,FALSE,Company Inc.,Risk Management,Operational Risk,2999-12-31,,,Associate,02--Associate (IC1-3),IC,3,FALSE,10.65838509,05--4+ years,Male,00--White
e000027,2014-05-02,,Administrative,Female,White,IC2,FALSE,Company Inc.,IT Services,IT Support,2999-12-31,,,Associate,02--Associate (IC1-3),IC,2,FALSE,10.66942719,05--4+ years,Female/Non-binary,00--White
e000028,2014-06-20,2019-09-06,Administrative,Male,Asian,IC7,FALSE,Company Inc.,IT Services,IT Infrastructure,2019-09-06,Golden Opportunity,TRUE,Staff,04--Staff (IC 6-7),IC,7,FALSE,5.278122843,05--4+ years,Male,01--Asian
e000029,2014-06-23,2024-03-06,Administrative,Male,Hispanic,IC4,TRUE,Company Inc.,Finance,Internal Audit,2024-03-06,Policy Violation,FALSE,Senior,03--Senior (IC4-5),IC,4,FALSE,0.7425810904,01--0.5-1 years,Male,02--Minority
e000030,2014-06-25,2019-06-27,Administrative,Male,White,IC3,FALSE,Company Inc.,Communications,Market Research,2019-06-27,Performance,FALSE,Associate,02--Associate (IC1-3),IC,3,FALSE,5.474120083,05--4+ years,Male,00--White
e000031,2014-06-24,2019-12-30,Administrative,Female,White,S3,FALSE,Company Inc.,Communications,Marketing,2019-12-30,Failure to Return from Leave,TRUE,Support,01--Support (S1-3),S,3,FALSE,4.960662526,05--4+ years,Female/Non-binary,00--White
e000032,2014-06-27,2017-09-26,Administrative,Female,White,M5,FALSE,Company Inc.,People,Compensation,2017-09-26,Dissatisfied with Performance Feedback,TRUE,Manager,06--Manager (M4-6),M,5,TRUE,7.238095238,05--4+ years,Female/Non-binary,00--White
e000033,2014-06-26,2018-09-12,Administrative,Male,Asian,IC2,FALSE,Company Inc.,Legal,Corporate,2018-09-12,Position Elimination,FALSE,Associate,02--Associate (IC1-3),IC,2,FALSE,6.269151139,05--4+ years,Male,01--Asian
e000034,2014-06-26,2018-06-11,Administrative,Non-binary,White,IC5,FALSE,Company Inc.,Risk Management,Enterprise Risk Management,2018-06-11,Change in Industry,TRUE,Senior,03--Senior (IC4-5),IC,5,FALSE,6.525879917,05--4+ years,Female/Non-binary,00--White
e000035,2014-06-16,2021-01-18,Administrative,Male,Asian,IC1,FALSE,Company Inc.,Risk Management,Strategic Risk,2021-01-18,Policy Violation,FALSE,Associate,02--Associate (IC1-3),IC,1,FALSE,3.897860594,04--3-4 years,Male,01--Asian
e000036,2014-08-08,2021-03-25,Sales,Female,Black,S1,TRUE,Company Inc.,Business,Business Development,2021-03-25,Compensation/Benefits,TRUE,Support,01--Support (S1-3),S,1,FALSE,3.715665977,04--3-4 years,Female/Non-binary,02--Minority
e000037,2014-08-15,2019-12-05,Production,Male,Asian,IC6,FALSE,Company Inc.,Hardware,Prototyping,2019-12-05,Work/Life Balance,TRUE,Staff,04--Staff (IC 6-7),IC,6,FALSE,5.029675638,05--4+ years,Male,01--Asian
e000038,2014-08-12,2022-11-23,Administrative,Female,White,M4,FALSE,Company Inc.,Risk Management,Enterprise Risk Management,2022-11-23,Company Confidence,TRUE,Manager,06--Manager (M4-6),M,4,TRUE,2.037267081,03--2-3 years,Female/Non-binary,00--White
e000039,2014-09-30,2022-01-21,Administrative,Male,Hispanic,M5,TRUE,Company Inc.,Risk Management,Enterprise Risk Management,2022-01-21,Inability to Work Remotely,TRUE,Manager,06--Manager (M4-6),M,5,TRUE,2.881987578,03--2-3 years,Male,02--Minority
e000040,2014-09-26,2017-02-27,Administrative,Female,Asian,IC1,FALSE,Company Inc.,People,People Operations,2017-02-27,Work/Life Balance,TRUE,Associate,02--Associate (IC1-3),IC,1,FALSE,7.820565908,05--4+ years,Female/Non-binary,01--Asian
e000041,2014-09-12,2020-01-16,Production,Male,Asian,IC4,FALSE,Company Inc.,Software,Software Infrastructure,2020-01-16,Work Environment,TRUE,Senior,03--Senior (IC4-5),IC,4,FALSE,4.913733609,05--4+ years,Male,01--Asian
e000042,2014-09-09,,Administrative,Female,Asian,M4,FALSE,Company Inc.,Risk Management,Operational Risk,2999-12-31,,,Manager,06--Manager (M4-6),M,4,TRUE,10.31055901,05--4+ years,Female/Non-binary,01--Asian
e000043,2014-09-26,2017-10-16,Production,Male,Black,IC1,TRUE,Company Inc.,Software,Front-End Development,2017-10-16,Career Progression,TRUE,Associate,02--Associate (IC1-3),IC,1,FALSE,7.182884748,05--4+ years,Male,02--Minority
e000044,2014-09-09,2021-03-11,Administrative,Male,Asian,IC3,FALSE,Company Inc.,Legal,Regulatory and Compliance,2021-03-11,Work/Life Balance,TRUE,Associate,02--Associate (IC1-3),IC,3,FALSE,3.75431332,04--3-4 years,Male,01--Asian
e000045,2014-09-19,2019-08-26,Production,Male,Asian,M6,FALSE,Company Inc.,Hardware,Manufacturing and Assembly,2019-08-26,Role Mismatch,TRUE,Manager,06--Manager (M4-6),M,6,TRUE,5.308488613,05--4+ years,Male,01--Asian
e000046,2014-09-08,2023-05-01,Production,Male,Asian,IC4,FALSE,Company Inc.,Research,Consumer Research,2023-05-01,Company Confidence,TRUE,Senior,03--Senior (IC4-5),IC,4,FALSE,1.598343685,02--1-2 years,Male,01--Asian
e000047,2014-09-03,2021-03-15,Sales,Female,Asian,S3,FALSE,Company Inc.,Consumer,Telemarketing,2021-03-15,Mutual Separation,FALSE,Support,01--Support (S1-3),S,3,FALSE,3.743271222,04--3-4 years,Female/Non-binary,01--Asian
e000048,2014-09-09,2017-10-13,Administrative,Male,Hispanic,IC4,TRUE,Company Inc.,IT Services,Information Security,2017-10-13,Position Elimination,FALSE,Senior,03--Senior (IC4-5),IC,4,FALSE,7.191166322,05--4+ years,Male,02--Minority
e000049,2014-09-03,2024-06-10,Administrative,Female,White,IC6,FALSE,Company Inc.,Communications,Marketing,2024-06-10,Limited Internal Mobility Options,TRUE,Staff,04--Staff (IC 6-7),IC,6,FALSE,0.4775707384,00--0-0.5 years,Female/Non-binary,00--White
e000050,2014-09-17,2019-08-09,Administrative,Male,Asian,S1,FALSE,Company Inc.,IT Services,IT Infrastructure,2019-08-09,Policy Violation,FALSE,Support,01--Support (S1-3),S,1,FALSE,5.355417529,05--4+ years,Male,01--Asian
e000051,2014-10-27,2017-11-30,Administrative,Male,White,IC6,FALSE,Company Inc.,Finance,Accounting,2017-11-30,Conflict with Work Location / Return to Work,TRUE,Staff,04--Staff (IC 6-7),IC,6,FALSE,7.058661146,05--4+ years,Male,00--White
e000052,2014-10-20,2021-03-22,Production,Female,Asian,M4,FALSE,Company Inc.,Quality Control,Production Audits,2021-03-22,Compensation/Benefits,TRUE,Manager,06--Manager (M4-6),M,4,TRUE,3.72394755,04--3-4 years,Female/Non-binary,01--Asian
e000053,2014-10-22,2022-08-29,Administrative,Male,White,IC1,FALSE,Company Inc.,Risk Management,Enterprise Risk Management,2022-08-29,Leadership,TRUE,Associate,02--Associate (IC1-3),IC,1,FALSE,2.274672188,03--2-3 years,Male,00--White
e000054,2014-10-30,2021-09-22,Production,Female,Black,M5,TRUE,Company Inc.,Service Delivery,Installation and Deployment,2021-09-22,Inability to Work Remotely,TRUE,Manager,06--Manager (M4-6),M,5,TRUE,3.216011042,04--3-4 years,Female/Non-binary,02--Minority
e000055,2014-10-28,2017-06-13,Production,Female,White,IC5,FALSE,Company Inc.,Hardware,Prototyping,2017-06-13,Compensation/Benefits,TRUE,Senior,03--Senior (IC4-5),IC,5,FALSE,7.527950311,05--4+ years,Female/Non-binary,00--White
e000056,2014-10-03,2019-12-17,Production,Male,White,S1,FALSE,Company Inc.,Quality Control,Inspection and Testing,2019-12-17,Compensation/Benefits,TRUE,Support,01--Support (S1-3),S,1,FALSE,4.996549344,05--4+ years,Male,00--White
e000057,2014-10-17,,Administrative,Male,White,M4,FALSE,Company Inc.,People,Recruiting,2999-12-31,,,Manager,06--Manager (M4-6),M,4,TRUE,10.20565908,05--4+ years,Male,00--White
e000058,2014-10-13,2022-04-13,Production,Female,White,S1,FALSE,Company Inc.,Software,Front-End Development,2022-04-13,Work Environment,TRUE,Support,01--Support (S1-3),S,1,FALSE,2.655624569,03--2-3 years,Female/Non-binary,00--White
e000059,2014-10-01,2020-10-05,Production,Male,Hispanic,S3,TRUE,Company Inc.,Service Delivery,Customer Support,2020-10-05,Mutual Separation,FALSE,Support,01--Support (S1-3),S,3,FALSE,4.187715666,05--4+ years,Male,02--Minority
e000060,2014-10-03,2017-09-05,Production,Female,Asian,M5,FALSE,Company Inc.,Service Delivery,Customer Support,2017-09-05,Mutual Separation,FALSE,Manager,06--Manager (M4-6),M,5,TRUE,7.296066253,05--4+ years,Female/Non-binary,01--Asian
e000061,2014-11-28,2019-07-04,Production,Male,White,IC1,FALSE,Company Inc.,Quality Control,Inspection and Testing,2019-07-04,Limited Internal Mobility Options,TRUE,Associate,02--Associate (IC1-3),IC,1,FALSE,5.454796411,05--4+ years,Male,00--White
e000062,2014-11-24,2018-07-27,Administrative,Female,White,M4,FALSE,Company Inc.,Risk Management,Enterprise Risk Management,2018-07-27,Golden Opportunity,TRUE,Manager,06--Manager (M4-6),M,4,TRUE,6.39889579,05--4+ years,Female/Non-binary,00--White
e000063,2014-11-13,2019-04-11,Production,Male,White,S3,FALSE,Company Inc.,Software,Software Infrastructure,2019-04-11,Mutual Separation,FALSE,Support,01--Support (S1-3),S,3,FALSE,5.686680469,05--4+ years,Male,00--White
e000064,2014-11-20,2019-04-19,Administrative,Female,Asian,IC5,FALSE,Company Inc.,Communications,Market Research,2019-04-19,Work/Life Balance,TRUE,Senior,03--Senior (IC4-5),IC,5,FALSE,5.664596273,05--4+ years,Female/Non-binary,01--Asian
e000065,2014-11-24,2020-08-03,Administrative,Male,White,IC2,FALSE,Company Inc.,Communications,Market Research,2020-08-03,Compensation/Benefits,TRUE,Associate,02--Associate (IC1-3),IC,2,FALSE,4.361628709,05--4+ years,Male,00--White
e000066,2014-11-12,2020-10-28,Administrative,Non-binary,White,IC3,FALSE,Company Inc.,Risk Management,Strategic Risk,2020-10-28,Company Culture,TRUE,Associate,02--Associate (IC1-3),IC,3,FALSE,4.124223602,05--4+ years,Female/Non-binary,00--White
e000067,2014-11-20,2017-08-30,Sales,Male,White,IC2,FALSE,Company Inc.,Consumer,Telemarketing,2017-08-30,Gross Misconduct,FALSE,Associate,02--Associate (IC1-3),IC,2,FALSE,7.3126294,05--4+ years,Male,00--White
e000068,2014-11-14,2019-09-10,Administrative,Male,White,S2,FALSE,Company Inc.,Communications,Commercials,2019-09-10,Limited Internal Mobility Options,TRUE,Support,01--Support (S1-3),S,2,FALSE,5.267080745,05--4+ years,Male,00--White
e000069,2014-11-26,2024-11-22,Sales,Female,White,IC6,FALSE,Company Inc.,Consumer,Customer Relations,2024-11-22,Company Confidence,TRUE,Staff,04--Staff (IC 6-7),IC,6,FALSE,0.022084196,00--0-0.5 years,Female/Non-binary,00--White
e000070,2014-11-13,2017-02-06,Production,Female,White,IC1,FALSE,Company Inc.,Hardware,Supply Chain Management,2017-02-06,Company Confidence,TRUE,Associate,02--Associate (IC1-3),IC,1,FALSE,7.878536922,05--4+ years,Female/Non-binary,00--White
e000071,2014-11-06,,Sales,Male,White,IC1,FALSE,Company Inc.,Sales Training,Sales Development,2999-12-31,,,Associate,02--Associate (IC1-3),IC,1,FALSE,10.15044859,05--4+ years,Male,00--White
e000072,2014-11-26,2018-05-22,Administrative,Male,White,IC1,FALSE,Company Inc.,Legal,Commercial,2018-05-22,Change in Industry,TRUE,Associate,02--Associate (IC1-3),IC,1,FALSE,6.581090407,05--4+ years,Male,00--White
e000073,2014-12-19,2021-03-22,Administrative,Male,White,IC1,FALSE,Company Inc.,People,Talent Development,2021-03-22,Mutual Separation,FALSE,Associate,02--Associate (IC1-3),IC,1,FALSE,3.72394755,04--3-4 years,Male,00--White
e000074,2014-12-11,2018-04-17,Administrative,Male,Asian,M4,FALSE,Company Inc.,Risk Management,Strategic Risk,2018-04-17,Policy Violation,FALSE,Manager,06--Manager (M4-6),M,4,TRUE,6.677708765,05--4+ years,Male,01--Asian
e000075,2014-12-25,2022-07-21,Sales,Female,Asian,S3,FALSE,Company Inc.,Retail,Merchandising,2022-07-21,Inability to Work Remotely,TRUE,Support,01--Support (S1-3),S,3,FALSE,2.382332643,03--2-3 years,Female/Non-binary,01--Asian
e000076,2014-12-02,2018-12-27,Production,Male,White,IC2,FALSE,Company Inc.,Research,Software Research,2018-12-27,Golden Opportunity,TRUE,Associate,02--Associate (IC1-3),IC,2,FALSE,5.976535542,05--4+ years,Male,00--White
e000077,2014-12-11,2018-04-23,Administrative,Male,Asian,IC3,FALSE,Company Inc.,IT Services,Information Security,2018-04-23,Role Clarity,TRUE,Associate,02--Associate (IC1-3),IC,3,FALSE,6.661145618,05--4+ years,Male,01--Asian
e000078,2014-12-03,2018-07-26,Administrative,Male,White,S2,FALSE,Company Inc.,Communications,Marketing,2018-07-26,Work/Life Balance,TRUE,Support,01--Support (S1-3),S,2,FALSE,6.401656315,05--4+ years,Male,00--White
e000079,2014-12-08,2023-06-01,Administrative,Female,White,M5,FALSE,Company Inc.,Finance,Internal Audit,2023-06-01,Golden Opportunity,TRUE,Manager,06--Manager (M4-6),M,5,TRUE,1.512767426,02--1-2 years,Female/Non-binary,00--White
e000080,2014-12-24,2017-02-02,Administrative,Non-binary,White,S2,FALSE,Company Inc.,IT Services,Information Security,2017-02-02,Company Culture,TRUE,Support,01--Support (S1-3),S,2,FALSE,7.88957902,05--4+ years,Female/Non-binary,00--White
e000081,2014-12-17,2020-01-01,Sales,Non-binary,White,M4,FALSE,Company Inc.,Sales Training,Sales Development,2020-01-01,Work Environment,TRUE,Manager,06--Manager (M4-6),M,4,TRUE,4.955141477,05--4+ years,Female/Non-binary,00--White
e000082,2014-12-19,2023-04-25,Administrative,Male,White,IC6,FALSE,Company Inc.,People,People Analytics,2023-04-25,Gross Misconduct,FALSE,Staff,04--Staff (IC 6-7),IC,6,FALSE,1.614906832,02--1-2 years,Male,00--White
e000083,2014-12-29,2017-11-24,Administrative,Male,White,S2,FALSE,Company Inc.,Finance,Investor Relations,2017-11-24,Position Elimination,FALSE,Support,01--Support (S1-3),S,2,FALSE,7.075224293,05--4+ years,Male,00--White
e000084,2014-12-12,2017-11-22,Administrative,Female,White,M6,FALSE,Company Inc.,People,Recruiting,2017-11-22,Leadership,TRUE,Manager,06--Manager (M4-6),M,6,TRUE,7.080745342,05--4+ years,Female/Non-binary,00--White
e000085,2014-12-26,2020-05-26,Production,Non-binary,White,S1,FALSE,Company Inc.,Research,Business and Retail Research,2020-05-26,Career Progression,TRUE,Support,01--Support (S1-3),S,1,FALSE,4.5521049,05--4+ years,Female/Non-binary,00--White
e000086,2014-12-18,2018-06-15,Administrative,Female,Hispanic,IC3,TRUE,Company Inc.,Legal,Corporate,2018-06-15,Role Clarity,TRUE,Associate,02--Associate (IC1-3),IC,3,FALSE,6.514837819,05--4+ years,Female/Non-binary,02--Minority
e000087,2014-12-04,2019-10-14,Production,Male,Hispanic,IC1,TRUE,Company Inc.,Quality Control,Process Control,2019-10-14,Limited Internal Mobility Options,TRUE,Associate,02--Associate (IC1-3),IC,1,FALSE,5.173222912,05--4+ years,Male,02--Minority
e000088,2014-12-31,2018-09-12,Administrative,Female,Hispanic,S3,TRUE,Company Inc.,IT Services,IT Support,2018-09-12,Compensation/Benefits,TRUE,Support,01--Support (S1-3),S,3,FALSE,6.269151139,05--4+ years,Female/Non-binary,02--Minority
e000089,2015-01-12,2019-08-20,Administrative,Male,White,IC5,FALSE,Company Inc.,IT Services,IT Infrastructure,2019-08-20,Golden Opportunity,TRUE,Senior,03--Senior (IC4-5),IC,5,FALSE,5.32505176,05--4+ years,Male,00--White
e000090,2015-01-21,2018-12-20,Administrative,Male,Black,M4,TRUE,Company Inc.,Communications,Commercials,2018-12-20,Company Culture,TRUE,Manager,06--Manager (M4-6),M,4,TRUE,5.995859213,05--4+ years,Male,02--Minority
e000091,2015-01-30,2019-12-31,Production,Male,Hispanic,M7,TRUE,Company Inc.,Research,Consumer Research,2019-12-31,Management,TRUE,Senior Manager,07--Senior Manager (M7),M,7,TRUE,4.957902001,05--4+ years,Male,02--Minority
e000092,2015-01-14,2020-05-11,Production,Male,White,IC9,FALSE,Company Inc.,Quality Control,Inspection and Testing,2020-05-11,Compensation/Benefits,TRUE,Principal,05--Principal (IC 8-10),IC,9,FALSE,4.593512767,05--4+ years,Male,00--White
e000093,2015-01-09,2023-06-15,Sales,Female,White,IC2,FALSE,Company Inc.,Business,Business Direct,2023-06-15,Role Mismatch,TRUE,Associate,02--Associate (IC1-3),IC,2,FALSE,1.474120083,02--1-2 years,Female/Non-binary,00--White
e000094,2015-01-16,2017-12-07,Production,Female,White,M6,FALSE,Company Inc.,Quality Control,Production Audits,2017-12-07,Gross Misconduct,FALSE,Manager,06--Manager (M4-6),M,6,TRUE,7.039337474,05--4+ years,Female/Non-binary,00--White
e000095,2015-01-30,,Administrative,Male,Black,IC7,TRUE,Company Inc.,Legal,Corporate,2999-12-31,,,Staff,04--Staff (IC 6-7),IC,7,FALSE,9.915804003,05--4+ years,Male,02--Minority
e000096,2015-01-02,2021-01-01,Sales,Female,Black,M4,TRUE,Company Inc.,Retail,Retail Direct,2021-01-01,Policy Violation,FALSE,Manager,06--Manager (M4-6),M,4,TRUE,3.94478951,04--3-4 years,Female/Non-binary,02--Minority
e000097,2015-01-12,2018-04-11,Production,Male,Asian,IC4,FALSE,Company Inc.,Hardware,Manufacturing and Assembly,2018-04-11,Work Environment,TRUE,Senior,03--Senior (IC4-5),IC,4,FALSE,6.694271912,05--4+ years,Male,01--Asian
e000098,2015-01-30,2022-12-01,Production,Female,Asian,S2,FALSE,Company Inc.,Quality Control,Production Audits,2022-12-01,Career Change,TRUE,Support,01--Support (S1-3),S,2,FALSE,2.015182885,03--2-3 years,Female/Non-binary,01--Asian
e000099,2015-01-06,2019-02-28,Sales,Female,White,IC2,FALSE,Company Inc.,Consumer,Customer Relations,2019-02-28,Role Clarity,TRUE,Associate,02--Associate (IC1-3),IC,2,FALSE,5.802622498,05--4+ years,Female/Non-binary,00--White
e000100,2015-01-27,2023-06-22,Administrative,Male,Hispanic,IC1,TRUE,Company Inc.,People,People Analytics,2023-06-22,Inability to Work Remotely,TRUE,Associate,02--Associate (IC1-3),IC,1,FALSE,1.454796411,02--1-2 years,Male,02--Minority
e000101,2015-01-20,2021-10-07,Administrative,Male,White,M6,FALSE,Company Inc.,IT Services,IT Support,2021-10-07,Compensation/Benefits,TRUE,Manager,06--Manager (M4-6),M,6,TRUE,3.174603175,04--3-4 years,Male,00--White
e000102,2015-01-23,2023-05-12,Production,Non-binary,White,M5,FALSE,Company Inc.,Hardware,Supply Chain Management,2023-05-12,Limited Internal Mobility Options,TRUE,Manager,06--Manager (M4-6),M,5,TRUE,1.567977916,02--1-2 years,Female/Non-binary,00--White
e000103,2015-01-22,2022-05-05,Sales,Non-binary,Black,IC7,TRUE,Company Inc.,Sales Training,Sales Development,2022-05-05,Failure to Return from Leave,TRUE,Staff,04--Staff (IC 6-7),IC,7,FALSE,2.59489303,03--2-3 years,Female/Non-binary,02--Minority
e000104,2015-01-21,2019-01-15,Sales,Male,Hispanic,M4,TRUE,Company Inc.,Sales Operations,Compensation and Incentives,2019-01-15,Management,TRUE,Manager,06--Manager (M4-6),M,4,TRUE,5.924085576,05--4+ years,Male,02--Minority
e000105,2015-01-30,2022-04-04,Sales,Female,Black,IC2,TRUE,Company Inc.,Business,Business Development,2022-04-04,Mutual Separation,FALSE,Associate,02--Associate (IC1-3),IC,2,FALSE,2.680469289,03--2-3 years,Female/Non-binary,02--Minority
e000106,2015-01-19,,Administrative,Male,White,IC5,FALSE,Company Inc.,Risk Management,Enterprise Risk Management,2999-12-31,,,Senior,03--Senior (IC4-5),IC,5,FALSE,9.946169772,05--4+ years,Male,00--White
e000107,2015-01-30,,Administrative,Male,Asian,IC2,FALSE,Company Inc.,Legal,Regulatory and Compliance,2999-12-31,,,Associate,02--Associate (IC1-3),IC,2,FALSE,9.915804003,05--4+ years,Male,01--Asian
e000108,2015-01-30,2024-02-05,Administrative,Male,Black,IC4,TRUE,Company Inc.,Risk Management,Enterprise Risk Management,2024-02-05,Company Confidence,TRUE,Senior,03--Senior (IC4-5),IC,4,FALSE,0.8253968254,01--0.5-1 years,Male,02--Minority
e000109,2015-01-28,2017-09-18,Administrative,Male,Black,M5,TRUE,Company Inc.,Risk Management,Strategic Risk,2017-09-18,Company Culture,TRUE,Manager,06--Manager (M4-6),M,5,TRUE,7.260179434,05--4+ years,Male,02--Minority
e000110,2015-01-14,2021-10-26,Production,Male,White,S1,FALSE,Company Inc.,Quality Control,Production Audits,2021-10-26,Gross Misconduct,FALSE,Support,01--Support (S1-3),S,1,FALSE,3.122153209,04--3-4 years,Male,00--White
e000111,2015-01-22,2023-01-10,Administrative,Male,White,IC2,FALSE,Company Inc.,Legal,Corporate,2023-01-10,Policy Violation,FALSE,Associate,02--Associate (IC1-3),IC,2,FALSE,1.904761905,02--1-2 years,Male,00--White
