employee_id,hire_date,termination_date,org_l01,gender,ethnicity,job_level,ethnicity_is_underrepresented_minority
e000039,2014-09-30,2022-01-21,Administrative,Male,Hispanic,M5,True
e000040,2014-09-26,2017-02-27,Administrative,Female,Asian,IC1,False
e000041,2014-09-12,2020-01-16,Production,Male,Asian,IC4,False
e000042,2014-09-09,,Administrative,Female,Asian,M4,False
e000043,2014-09-26,2017-10-16,Production,Male,Black,IC1,True
e000044,2014-09-09,2021-03-11,Administrative,Male,Asian,IC3,False
e000045,2014-09-19,2019-08-26,Production,Male,Asian,M6,False
e000046,2014-09-08,2023-05-01,Production,Male,Asian,IC4,False
e000047,2014-09-03,2021-03-15,Sales,Female,Asian,S3,False
e000048,2014-09-09,2017-10-13,Administrative,Male,Hispanic,IC4,True
e000049,2014-09-03,2024-06-10,Administrative,Female,White,IC6,False
e000050,2014-09-17,2019-08-09,Administrative,Male,Asian,S1,False
e000051,2014-10-27,2017-11-30,Administrative,Male,White,IC6,False
e000052,2014-10-20,2021-03-22,Production,Female,Asian,M4,False
e000053,2014-10-22,2022-08-29,Administrative,Male,White,IC1,False
e000054,2014-10-30,2021-09-22,Production,Female,Black,M5,True
e000055,2014-10-28,2017-06-13,Production,Female,White,IC5,False
e000056,2014-10-03,2019-12-17,Production,Male,White,S1,False
e000057,2014-10-17,,Administrative,Male,White,M4,False
e000058,2014-10-13,2022-04-13,Production,Female,White,S1,False
e000059,2014-10-01,2020-10-05,Production,Male,Hispanic,S3,True
e000060,2014-10-03,2017-09-05,Production,Female,Asian,M5,False
e000061,2014-11-28,2019-07-04,Production,Male,White,IC1,False
e000062,2014-11-24,2018-07-27,Administrative,Female,White,M4,False
e000063,2014-11-13,2019-04-11,Production,Male,White,S3,False
e000064,2014-11-20,2019-04-19,Administrative,Female,Asian,IC5,False
e000065,2014-11-24,2020-08-03,Administrative,Male,White,IC2,False
e000066,2014-11-12,2020-10-28,Administrative,Non-binary,White,IC3,False
e000067,2014-11-20,2017-08-30,Sales,Male,White,IC2,False
e000068,2014-11-14,2019-09-10,Administrative,Male,White,S2,False
e000069,2014-11-26,2024-11-22,Sales,Female,White,IC6,False
e000070,2014-11-13,2017-02-06,Production,Female,White,IC1,False
e000071,2014-11-06,,Sales,Male,White,IC1,False
e000072,2014-11-26,2018-05-22,Administrative,Male,White,IC1,False
e000073,2014-12-19,2021-03-22,Administrative,Male,White,IC1,False
e000074,2014-12-11,2018-04-17,Administrative,Male,Asian,M4,False
e000075,2014-12-25,2022-07-21,Sales,Female,Asian,S3,False
e000076,2014-12-02,2018-12-27,Production,Male,White,IC2,False
e000077,2014-12-11,2018-04-23,Administrative,Male,Asian,IC3,False
e000078,2014-12-03,2018-07-26,Administrative,Male,White,S2,False
e000079,2014-12-08,2023-06-01,Administrative,Female,White,M5,False
e000080,2014-12-24,2017-02-02,Administrative,Non-binary,White,S2,False
e000081,2014-12-17,2020-01-01,Sales,Non-binary,White,M4,False
e000082,2014-12-19,2023-04-25,Administrative,Male,White,IC6,False
e000083,2014-12-29,2017-11-24,Administrative,Male,White,S2,False
e000084,2014-12-12,2017-11-22,Administrative,Female,White,M6,False
e000085,2014-12-26,2020-05-26,Production,Non-binary,White,S1,False
e000086,2014-12-18,2018-06-15,Administrative,Female,Hispanic,IC3,True
e000087,2014-12-04,2019-10-14,Production,Male,Hispanic,IC1,True
e000088,2014-12-31,2018-09-12,Administrative,Female,Hispanic,S3,True
e000089,2015-01-12,2019-08-20,Administrative,Male,White,IC5,False
e000090,2015-01-21,2018-12-20,Administrative,Male,Black,M4,True
e000091,2015-01-30,2019-12-31,Production,Male,Hispanic,M7,True
e000092,2015-01-14,2020-05-11,Production,Male,White,IC9,False
e000093,2015-01-09,2023-06-15,Sales,Female,White,IC2,False
e000094,2015-01-16,2017-12-07,Production,Female,White,M6,False
e000095,2015-01-30,,Administrative,Male,Black,IC7,True
e000096,2015-01-02,2021-01-01,Sales,Female,Black,M4,True
e000097,2015-01-12,2018-04-11,Production,Male,Asian,IC4,False
e000098,2015-01-30,2022-12-01,Production,Female,Asian,S2,False
e000099,2015-01-06,2019-02-28,Sales,Female,White,IC2,False
e000100,2015-01-27,2023-06-22,Administrative,Male,Hispanic,IC1,True
e000101,2015-01-20,2021-10-07,Administrative,Male,White,M6,False
e000102,2015-01-23,2023-05-12,Production,Non-binary,White,M5,False
e000103,2015-01-22,2022-05-05,Sales,Non-binary,Black,IC7,True
e000104,2015-01-21,2019-01-15,Sales,Male,Hispanic,M4,True
e000105,2015-01-30,2022-04-04,Sales,Female,Black,IC2,True
e000106,2015-01-19,,Administrative,Male,White,IC5,False
e000107,2015-01-30,,Administrative,Male,Asian,IC2,False
e000108,2015-01-30,2024-02-05,Administrative,Male,Black,IC4,True
e000109,2015-01-28,2017-09-18,Administrative,Male,Black,M5,True
e000110,2015-01-14,2021-10-26,Production,Male,White,S1,False
e000111,2015-01-22,2023-01-10,Administrative,Male,White,IC2,False
e000112,2015-01-16,2018-06-06,Production,Female,Hispanic,IC2,True
e000113,2015-01-07,2022-06-20,Sales,Female,Black,IC4,True
e000114,2015-01-13,2018-12-14,Administrative,Male,White,M5,False
e000115,2015-01-16,2020-10-30,Administrative,Female,White,M6,False
e000116,2015-01-16,2020-02-10,Administrative,Male,Hispanic,M5,True
e000117,2015-01-21,2021-08-31,Administrative,Male,Asian,M6,False
e000118,2015-01-02,2017-04-11,Production,Male,White,IC4,False
e000119,2015-02-18,2017-02-09,Administrative,Female,Hispanic,S2,True
e000120,2015-02-24,2023-04-28,Administrative,Male,White,IC2,False
e000121,2015-02-16,2019-02-22,Production,Male,White,S1,False
e000122,2015-02-09,2017-12-04,Production,Male,White,IC2,False
e000123,2015-02-19,2023-04-19,Production,Male,White,IC6,False
e000124,2015-02-05,2018-04-16,Production,Male,Asian,IC4,False
e000125,2015-02-24,2020-01-13,Production,Male,White,IC4,False
e000126,2015-02-02,,Administrative,Female,Asian,IC6,False
e000127,2015-02-13,2022-06-17,Production,Male,Asian,S2,False
e000128,2015-02-18,2020-08-20,Production,Male,White,IC5,False
e000129,2015-02-17,2023-03-20,Administrative,Female,White,S1,False
e000130,2015-02-04,2019-09-10,Sales,Male,White,IC6,False
e000131,2015-02-19,2018-09-20,Administrative,Male,Hispanic,S2,True
e000132,2015-02-27,2019-09-20,Production,Female,White,IC2,False
e000133,2015-02-05,2019-09-03,Administrative,Non-binary,White,IC2,False
e000134,2015-03-20,2019-06-19,Administrative,Male,Hispanic,IC7,True
e000135,2015-03-10,2020-11-23,Production,Female,Hispanic,IC3,True
e000136,2015-03-13,2024-01-11,Production,Non-binary,Asian,S2,False
e000137,2015-03-10,2022-11-30,Sales,Male,White,IC5,False
e000138,2015-03-17,2018-07-27,Production,Male,Black,M4,True
e000139,2015-03-13,2020-02-26,Administrative,Male,Asian,IC3,False
e000140,2015-03-19,2021-05-14,Administrative,Female,Black,M4,True
e000141,2015-03-02,2020-05-21,Production,Male,White,IC2,False
e000142,2015-03-04,2020-01-28,Production,Male,Hispanic,IC9,True
e000143,2015-03-30,2018-04-25,Production,Male,White,M5,False
e000144,2015-03-23,2023-07-24,Production,Male,Asian,IC2,False
e000145,2015-03-02,2022-04-22,Sales,Male,White,S2,False
e000146,2015-04-15,2018-07-19,Production,Female,Asian,IC1,False
e000147,2015-04-14,2020-01-14,Sales,Female,Hispanic,IC5,True
e000148,2015-04-16,2022-11-18,Production,Male,White,S2,False
e000149,2015-04-22,2017-02-21,Administrative,Male,White,IC7,False
e000150,2015-04-24,,Administrative,Female,White,IC2,False
e000151,2015-05-15,2018-09-25,Production,Female,Asian,IC7,False
e000152,2015-05-29,2018-09-27,Administrative,Male,Hispanic,IC7,True
e000153,2015-05-27,2018-09-04,Production,Female,Asian,S2,False
e000154,2015-05-29,2020-07-09,Production,Female,White,IC8,False
e000155,2015-05-12,2018-12-10,Administrative,Female,White,S1,False
e000156,2015-05-15,2020-01-01,Production,Male,White,IC3,False
e000157,2015-05-28,2020-05-12,Sales,Non-binary,Asian,S1,False
e000158,2015-05-07,2024-06-07,Production,Non-binary,Hispanic,IC3,True
e000159,2015-05-19,2020-01-16,Production,Male,Hispanic,IC1,True
e000160,2015-05-18,2018-12-17,Production,Female,Asian,IC7,False
e000161,2015-05-13,,Production,Male,White,IC4,False
e000162,2015-05-12,2019-04-29,Sales,Female,Asian,IC6,False
e000163,2015-05-22,2023-03-17,Production,Male,Hispanic,IC7,True
e000164,2015-05-13,2024-01-22,Administrative,Male,Asian,M4,False
e000165,2015-06-18,2019-10-23,Production,Female,Asian,M5,False
e000166,2015-07-02,2018-09-19,Production,Female,Asian,IC3,False
e000167,2015-07-22,2019-04-02,Administrative,Male,Asian,S1,False
e000168,2015-07-13,2020-01-03,Production,Non-binary,Asian,IC6,False
e000169,2015-07-20,2020-08-27,Sales,Non-binary,White,S2,False
e000170,2015-07-07,,Administrative,Female,White,IC1,False
e000171,2015-07-17,2017-10-16,Administrative,Female,Asian,S3,False
e000172,2015-07-31,2018-04-04,Administrative,Female,Black,IC5,True
e000173,2015-07-29,2017-04-20,Production,Male,White,IC4,False
e000174,2015-07-02,2022-10-07,Production,Female,White,IC9,False
e000175,2015-07-29,2020-01-22,Production,Male,Black,S2,True
e000176,2015-07-23,2018-04-17,Sales,Male,Hispanic,IC5,True
e000177,2015-07-27,2017-04-11,Production,Male,White,M5,False
e000178,2015-07-24,2019-06-19,Production,Non-binary,Hispanic,IC1,True
e000179,2015-07-09,2017-11-24,Production,Female,Asian,IC2,False
e000180,2015-07-03,2020-08-07,Administrative,Male,Asian,M4,False
e000181,2015-07-30,2017-08-08,Sales,Male,Asian,S2,False
e000182,2015-07-31,2018-12-28,Production,Non-binary,Hispanic,S1,True
e000183,2015-07-20,,Administrative,Male,Asian,IC4,False
e000184,2015-07-28,2021-03-01,Production,Female,White,IC1,False
e000185,2015-07-21,2019-07-19,Production,Male,Hispanic,IC2,True
e000186,2015-07-30,2018-07-17,Production,Male,Asian,IC1,False
e000187,2015-07-10,2023-04-04,Production,Male,White,IC6,False
e000188,2015-07-29,,Administrative,Male,White,S2,False
e000189,2015-07-14,2022-04-14,Production,Female,White,S1,False
e000190,2015-07-20,2018-12-12,Production,Male,Asian,S1,False
e000191,2015-07-16,2018-12-28,Production,Male,Asian,M4,False
e000192,2015-07-01,2023-05-09,Administrative,Male,White,M4,False
e000193,2015-07-10,2022-02-10,Production,Male,White,S2,False
e000194,2015-08-14,2019-03-13,Administrative,Male,White,IC7,False
e000195,2015-08-27,2018-04-13,Sales,Female,Asian,S2,False
e000196,2015-08-06,2018-04-11,Administrative,Male,Hispanic,IC3,True
e000197,2015-08-04,2019-06-05,Sales,Male,White,IC2,False
e000198,2015-08-31,2017-12-29,Sales,Male,Hispanic,IC2,True
e000199,2015-08-18,2022-07-29,Sales,Male,Black,S2,True
e000200,2015-08-12,2017-11-29,Administrative,Non-binary,Asian,M4,False
e000201,2015-08-28,2022-11-01,Sales,Male,White,S3,False
e000202,2015-08-11,2018-07-26,Sales,Male,Asian,IC4,False
e000203,2015-08-10,2017-08-21,Production,Female,White,S3,False
e000204,2015-08-25,2018-09-07,Sales,Female,White,M6,False
e000205,2015-08-20,2020-02-13,Sales,Female,Black,S2,True
e000206,2015-08-07,2020-07-06,Administrative,Female,Black,IC6,True
e000207,2015-08-19,2018-09-26,Production,Male,White,IC2,False
e000208,2015-08-21,2017-02-22,Administrative,Female,Asian,IC2,False
e000209,2015-08-13,2021-03-18,Sales,Female,Asian,IC3,False
e000210,2015-08-27,2020-08-14,Administrative,Female,Asian,IC6,False
e000211,2015-10-30,2019-08-28,Production,Male,Asian,S2,False
e000212,2015-10-08,2022-01-19,Sales,Male,Asian,IC3,False
e000213,2015-10-15,2020-01-27,Administrative,Female,Asian,M5,False
e000214,2015-10-16,2019-08-08,Administrative,Male,White,IC1,False
e000215,2015-10-14,2017-02-16,Administrative,Female,Hispanic,M5,True
e000216,2015-10-19,2020-01-21,Sales,Female,Asian,S3,False
e000217,2015-11-23,2021-06-07,Production,Male,Black,IC4,True
e000218,2015-11-17,2018-12-07,Production,Female,Asian,IC8,False
e000219,2015-11-04,2017-04-12,Administrative,Male,White,IC4,False
e000220,2015-11-10,2018-07-26,Sales,Female,Asian,S3,False
e000221,2015-11-19,2021-10-14,Production,Female,Hispanic,IC5,True
e000222,2015-11-23,2021-11-04,Sales,Female,Asian,S1,False
e000223,2015-11-12,2019-04-12,Sales,Female,Asian,IC6,False
e000224,2015-11-12,2019-09-26,Production,Male,Asian,S3,False
e000225,2015-11-20,2023-01-25,Production,Male,Asian,IC4,False
e000226,2015-11-02,2021-03-31,Production,Female,Black,IC2,True
e000227,2015-11-30,2023-05-08,Production,Male,Asian,IC3,False
e000228,2015-11-16,2023-11-27,Sales,Female,Black,S3,True
e000229,2015-11-30,2017-11-30,Administrative,Male,Asian,M4,False
e000230,2015-11-27,2021-12-03,Production,Male,White,S1,False
e000231,2015-11-23,2021-03-29,Sales,Non-binary,Asian,IC2,False
e000232,2015-11-03,2021-07-05,Production,Female,Black,IC1,True
e000233,2015-11-11,2023-05-09,Sales,Female,Asian,M5,False
e000234,2015-11-17,2018-04-18,Production,Female,Black,M4,True
e000235,2015-11-09,2019-04-16,Administrative,Male,Asian,IC6,False
e000236,2015-11-25,2020-11-16,Sales,Male,Asian,IC1,False
e000237,2015-11-04,2017-02-16,Administrative,Male,Black,IC2,True
e000238,2015-11-16,2017-09-01,Production,Male,Asian,S2,False
e000239,2015-11-03,2019-07-03,Sales,Male,Hispanic,S1,True
e000240,2015-11-10,2019-07-08,Production,Non-binary,Asian,IC1,False
e000241,2015-11-03,2018-07-05,Sales,Male,Hispanic,IC1,True
e000242,2015-11-26,2021-01-19,Sales,Female,White,M4,False
e000243,2015-12-11,2019-10-02,Sales,Male,Hispanic,IC2,True
e000244,2015-12-21,2019-03-14,Sales,Male,Asian,IC6,False
e000245,2015-12-02,2020-06-12,Sales,Female,Asian,IC7,False
e000246,2015-12-21,2018-06-11,Production,Male,Asian,M6,False
e000247,2015-12-01,2018-06-25,Production,Male,Hispanic,IC9,True
e000248,2015-12-22,2020-05-04,Sales,Female,Hispanic,IC5,True
e000249,2015-12-08,2018-09-20,Sales,Male,Asian,IC4,False
e000250,2015-12-15,2021-10-28,Production,Male,Hispanic,M5,True
e000251,2015-12-10,2019-03-29,Administrative,Female,Hispanic,IC2,True
e000252,2015-12-07,2019-02-13,Administrative,Female,Black,IC3,True
e000253,2015-12-31,2022-06-27,Production,Male,Asian,IC4,False
e000254,2015-12-09,2020-11-16,Administrative,Female,Asian,IC1,False
e000255,2015-12-30,2019-12-18,Administrative,Female,Hispanic,S2,True
e000256,2015-12-24,2024-05-16,Sales,Male,White,IC1,False
e000257,2015-12-22,2020-07-17,Production,Female,Asian,IC5,False
e000258,2015-12-24,2023-01-16,Administrative,Female,Black,IC3,True
e000259,2015-12-01,2018-04-27,Production,Male,White,S3,False
e000260,2016-01-01,2020-02-14,Sales,Female,Black,IC4,True
e000261,2016-01-08,2018-09-28,Sales,Male,White,IC4,False
e000262,2016-01-27,2018-04-09,Sales,Female,Asian,IC3,False
e000263,2016-01-18,2018-04-05,Administrative,Female,Asian,S3,False
e000264,2016-01-12,2020-03-13,Administrative,Male,Hispanic,IC1,True
e000265,2016-01-22,2023-11-14,Sales,Female,White,IC5,False
e000266,2016-01-06,2018-01-24,Sales,Male,Black,IC8,True
e000267,2016-01-13,2019-09-19,Production,Male,Asian,IC2,False
e000268,2016-01-27,2019-01-01,Sales,Female,Asian,IC2,False
e000269,2016-01-12,,Production,Male,Black,IC3,True
e000270,2016-01-22,2019-08-28,Sales,Male,Black,IC2,True
e000271,2016-01-12,2018-09-21,Administrative,Female,Asian,S3,False
e000272,2016-01-18,2017-04-14,Sales,Female,Asian,IC2,False
e000273,2016-01-15,2023-02-02,Sales,Male,Asian,S3,False
e000274,2016-01-08,2020-01-24,Sales,Male,Asian,S2,False
e000275,2016-01-27,2018-09-04,Administrative,Female,White,IC4,False
e000276,2016-01-04,2018-07-05,Administrative,Female,Asian,IC2,False
e000277,2016-01-27,2020-10-05,Sales,Female,Asian,IC8,False
e000278,2016-01-05,2019-02-04,Administrative,Female,Asian,IC3,False
e000279,2016-02-29,2020-03-02,Administrative,Female,Asian,IC1,False
e000280,2016-02-24,2023-07-06,Sales,Non-binary,White,S2,False
e000281,2016-02-26,2023-06-26,Administrative,Male,Asian,S2,False
e000282,2016-02-12,2021-07-02,Production,Female,Asian,IC6,False
e000283,2016-02-03,2024-06-04,Production,Male,Asian,S2,False
e000284,2016-02-08,2023-10-26,Sales,Female,Asian,IC4,False
e000285,2016-02-17,2017-02-07,Sales,Male,White,S3,False
e000286,2016-02-15,2019-04-26,Sales,Female,Asian,IC2,False
e000287,2016-02-19,2024-02-26,Sales,Female,Asian,IC3,False
e000288,2016-02-19,2020-05-08,Production,Male,White,IC6,False
e000289,2016-02-11,,Sales,Female,White,S2,False
e000290,2016-02-04,2018-04-20,Administrative,Female,Asian,S1,False
e000291,2016-02-17,2020-10-22,Production,Non-binary,White,IC4,False
e000292,2016-02-03,2022-04-28,Sales,Female,Asian,S3,False
e000293,2016-02-12,2019-05-08,Production,Male,Asian,S2,False
e000294,2016-02-02,2017-02-02,Sales,Female,Asian,IC3,False
e000295,2016-02-24,2018-04-11,Sales,Male,White,M5,False
e000296,2016-02-24,2022-02-14,Administrative,Male,Asian,IC5,False
e000297,2016-02-25,,Production,Non-binary,Asian,M5,False
e000298,2016-02-22,2018-04-23,Production,Non-binary,Asian,IC2,False
e000299,2016-02-11,2017-02-16,Administrative,Male,Asian,IC6,False
e000300,2016-02-05,2018-07-16,Production,Male,White,M5,False
e000301,2016-02-22,2017-02-13,Administrative,Female,Asian,IC4,False
e000302,2016-02-01,2017-11-03,Production,Male,Black,IC2,True
e000303,2016-02-10,,Administrative,Female,Asian,IC2,False
e000304,2016-02-11,2020-09-02,Administrative,Female,Asian,IC7,False
e000305,2016-02-26,2020-03-11,Sales,Female,Asian,IC6,False
e000306,2016-02-11,2020-01-29,Production,Female,White,IC1,False
e000307,2016-02-29,2019-04-10,Production,Male,Asian,IC3,False
e000308,2016-02-15,2019-02-27,Administrative,Male,Asian,S3,False
e000309,2016-03-07,2017-12-15,Sales,Female,White,IC5,False
e000310,2016-03-04,2023-09-25,Production,Male,Asian,IC6,False
e000311,2016-03-09,,Administrative,Male,Asian,IC3,False
e000312,2016-04-15,2020-03-26,Production,Female,Asian,S1,False
e000313,2016-04-08,,Administrative,Female,Hispanic,IC3,True
e000314,2016-04-22,2020-11-09,Sales,Female,Asian,IC5,False
e000315,2016-04-26,2017-10-16,Sales,Male,Black,M5,True
e000316,2016-04-04,2017-11-03,Sales,Non-binary,Asian,IC1,False
e000317,2016-04-26,2018-09-04,Administrative,Male,Asian,M5,False
e000318,2016-04-18,,Administrative,Male,Black,IC1,True
e000319,2016-04-19,2020-01-07,Production,Female,Asian,IC2,False
e000320,2016-04-28,2018-12-14,Administrative,Non-binary,Asian,M4,False
e000321,2016-04-04,,Administrative,Male,Black,IC2,True
e000322,2016-04-14,2020-02-25,Administrative,Male,Asian,IC7,False
e000323,2016-04-11,2018-09-27,Sales,Male,White,IC3,False
e000324,2016-04-25,2019-07-22,Administrative,Male,Asian,M4,False
e000325,2016-04-14,2020-03-05,Sales,Non-binary,Black,IC8,True
e000326,2016-04-25,2019-05-30,Production,Non-binary,Asian,IC3,False
e000327,2016-04-25,2019-08-15,Administrative,Male,White,M4,False
e000328,2016-04-05,2020-10-09,Production,Female,Asian,IC6,False
e000329,2016-04-14,2023-07-04,Administrative,Female,Asian,S3,False
e000330,2016-04-11,2019-04-24,Administrative,Male,Asian,IC2,False
e000331,2016-04-06,2021-01-08,Administrative,Male,Asian,M6,False
e000332,2016-04-26,2022-04-06,Production,Male,Asian,IC1,False
e000333,2016-04-07,2020-10-27,Sales,Female,Asian,S2,False
e000334,2016-04-14,2018-04-11,Production,Non-binary,Asian,S2,False
e000335,2016-04-22,2019-04-15,Sales,Male,Asian,S1,False
e000336,2016-04-19,2021-03-08,Administrative,Male,Asian,IC8,False
e000337,2016-04-21,2019-09-23,Production,Male,Black,IC6,True
e000338,2016-04-26,2019-09-19,Administrative,Female,Asian,IC4,False
e000339,2016-04-05,2020-03-16,Sales,Female,Asian,IC2,False
e000340,2016-04-29,2019-08-22,Sales,Male,Asian,S3,False
e000341,2016-04-28,2020-07-21,Administrative,Male,Asian,M5,False
e000342,2016-05-16,2017-11-01,Administrative,Male,Asian,IC5,False
e000343,2016-05-09,2018-09-05,Production,Female,Asian,IC1,False
e000344,2016-05-18,2022-02-23,Sales,Female,Asian,S1,False
e000345,2016-05-30,2020-03-18,Production,Male,White,S1,False
e000346,2016-05-26,2017-11-13,Administrative,Male,Asian,IC5,False
e000347,2016-05-23,2019-06-19,Production,Non-binary,Asian,M8,False
e000348,2016-05-03,2022-06-21,Production,Male,Asian,IC2,False
e000349,2016-05-10,2020-02-14,Sales,Female,Asian,IC5,False
e000350,2016-05-25,2018-09-13,Administrative,Male,Hispanic,S1,True
e000351,2016-05-06,2021-07-21,Production,Male,Hispanic,IC4,True
e000352,2016-05-11,2017-11-02,Sales,Non-binary,Asian,S1,False
e000353,2016-05-13,2018-04-18,Sales,Male,Asian,IC8,False
e000354,2016-05-04,2020-05-18,Sales,Male,Asian,IC7,False
e000355,2016-05-11,,Administrative,Male,Asian,IC8,False
e000356,2016-05-31,2018-06-28,Production,Male,Asian,IC3,False
e000357,2016-05-16,2018-07-04,Sales,Female,Asian,IC4,False
e000358,2016-05-16,2017-11-29,Administrative,Male,Asian,S2,False
e000359,2016-06-01,2018-07-04,Production,Female,Asian,IC4,False
e000360,2016-06-27,2022-04-22,Sales,Male,Asian,IC2,False
e000361,2016-06-24,2017-12-26,Production,Female,Asian,IC4,False
e000362,2016-06-22,2023-05-30,Production,Male,White,S1,False
e000363,2016-06-13,2020-02-26,Production,Female,Asian,S2,False
e000364,2016-06-30,2022-01-27,Sales,Male,Asian,IC5,False
e000365,2016-06-10,2019-12-30,Administrative,Female,Asian,M6,False
e000366,2016-06-28,2024-04-16,Sales,Male,Asian,M4,False
e000367,2016-06-29,2017-11-21,Production,Female,Black,IC2,True
e000368,2016-06-27,2018-04-10,Administrative,Male,Asian,S2,False
e000369,2016-06-21,2022-04-06,Sales,Male,Asian,IC1,False
e000370,2016-06-20,2021-11-04,Production,Female,White,IC1,False
e000371,2016-06-29,2019-09-30,Sales,Male,Asian,S3,False
e000372,2016-06-06,2024-01-08,Production,Non-binary,Asian,IC1,False
e000373,2016-06-30,2020-02-10,Sales,Male,Asian,IC1,False
e000374,2016-06-24,2021-10-08,Production,Non-binary,White,IC3,False
e000375,2016-06-16,2019-06-06,Sales,Male,Hispanic,S2,True
e000376,2016-06-09,2017-11-24,Administrative,Male,Asian,M4,False
e000377,2016-06-28,2022-11-22,Production,Female,Black,IC6,True
e000378,2016-07-29,2020-02-12,Sales,Male,Black,S2,True
e000379,2016-07-12,2018-09-07,Sales,Male,Hispanic,IC2,True
e000380,2016-07-13,2020-05-12,Production,Female,Asian,IC1,False
e000381,2016-07-08,2021-07-30,Sales,Female,Black,IC6,True
e000382,2016-08-26,2022-04-29,Sales,Non-binary,Asian,M4,False
e000383,2016-08-31,,Production,Male,Hispanic,IC5,True
e000384,2016-08-16,2019-02-12,Sales,Female,Black,IC4,True
e000385,2016-08-12,2023-04-19,Production,Male,Asian,S2,False
e000386,2016-08-08,2018-12-04,Production,Male,Asian,M8,False
e000387,2016-08-12,,Administrative,Male,Hispanic,IC1,True
e000388,2016-08-11,2023-05-30,Production,Male,Black,M4,True
e000389,2016-08-02,2021-01-28,Sales,Male,Asian,S3,False
e000390,2016-08-24,2022-02-22,Administrative,Male,Asian,IC1,False
e000391,2016-08-02,2018-04-25,Sales,Male,Black,M4,True
e000392,2016-08-23,2020-01-08,Production,Male,White,M5,False
e000393,2016-08-19,2022-11-10,Sales,Female,Hispanic,IC7,True
e000394,2016-08-26,2018-09-13,Sales,Non-binary,Black,S1,True
e000395,2016-09-05,2023-11-10,Production,Female,Asian,M5,False
e000396,2016-10-18,2020-08-14,Sales,Female,Asian,IC4,False
e000397,2016-10-10,2018-05-07,Production,Male,Asian,IC2,False
e000398,2016-10-19,2019-04-17,Sales,Male,Asian,IC2,False
e000399,2016-10-04,2018-06-25,Administrative,Female,Asian,IC5,False
e000400,2016-10-14,2023-07-28,Production,Male,Asian,M4,False
e000401,2016-10-24,2023-05-04,Production,Female,Asian,IC2,False
e000402,2016-10-06,2017-06-23,Production,Non-binary,Asian,S2,False
e000403,2016-10-11,2021-07-02,Production,Male,White,IC5,False
e000404,2016-10-21,2024-05-28,Administrative,Female,Black,IC2,True
e000405,2016-10-03,2022-04-19,Administrative,Female,Asian,IC5,False
e000406,2016-10-21,2021-03-09,Production,Male,Asian,S3,False
e000407,2016-10-21,2019-01-02,Administrative,Female,Black,S2,True
e000408,2016-10-03,2017-12-13,Production,Male,Asian,IC6,False
e000409,2016-10-10,2017-10-19,Administrative,Non-binary,Asian,S2,False
