employee_id,hire_date,termination_date,org_l01,gender,ethnicity,job_level
e000123,2015-03-17,2018-07-23,Production,Female,Asian,S2
e000124,2015-03-05,2019-09-13,Administrative,Male,Asian,IC6
e000125,2015-03-30,2021-12-09,Administrative,Female,Asian,IC3
e000126,2015-03-26,2019-07-15,Production,Male,Hispanic,IC4
e000127,2015-03-30,2023-11-07,Sales,Male,Hispanic,IC1
e000128,2015-03-20,2017-10-17,Administrative,Male,White,IC1
e000129,2015-03-03,2020-09-03,Production,Male,Asian,S1
e000130,2015-03-17,2017-09-26,Sales,Male,Black,M4
e000131,2015-03-27,2019-01-18,Production,Male,Asian,M6
e000132,2015-03-03,2018-08-13,Production,Female,Asian,IC1
e000133,2015-03-23,2018-10-15,Production,Female,Asian,IC7
e000134,2015-03-16,2019-01-21,Sales,Male,Asian,S1
e000135,2015-03-20,2022-02-23,Sales,Male,Asian,IC1
e000136,2015-03-13,2022-03-29,Production,Female,Asian,S1
e000137,2015-03-30,2023-09-20,Production,Male,White,IC5
e000138,2015-03-13,2017-06-21,Administrative,Female,Hispanic,IC4
e000139,2015-03-06,2023-12-14,Production,Male,White,IC1
e000140,2015-03-30,2018-07-24,Production,Male,Asian,M5
e000141,2015-03-13,2022-08-10,Production,Female,White,S2
e000142,2015-03-31,2018-08-20,Sales,Male,Asian,IC3
e000143,2015-03-02,2020-01-07,Production,Male,White,M5
e000144,2015-03-23,2023-12-19,Administrative,Female,White,IC1
e000145,2015-03-05,2023-02-21,Production,Male,Asian,IC3
e000146,2015-03-31,2020-02-20,Production,Female,White,IC2
e000147,2015-03-09,2019-04-24,Administrative,Female,Asian,M4
e000148,2015-03-20,2019-02-13,Administrative,Male,Asian,M6
e000149,2015-03-27,2023-09-11,Administrative,Female,Asian,IC3
e000150,2015-04-16,2019-10-09,Production,Male,Asian,IC7
e000151,2015-04-02,2017-09-29,Administrative,Female,White,IC7
e000152,2015-04-30,2018-07-31,Administrative,Male,Black,IC5
e000153,2015-04-21,2020-03-09,Administrative,Male,Asian,IC2
e000154,2015-04-17,2018-10-24,Sales,Male,White,IC2
e000155,2015-04-16,2023-09-12,Production,Female,Asian,IC3
e000156,2015-04-17,2017-10-05,Production,Male,Hispanic,S1
e000157,2015-04-08,2024-02-12,Production,Male,Asian,S3
e000158,2015-04-13,2018-12-13,Production,Male,Asian,IC5
e000159,2015-04-22,2020-05-06,Administrative,Male,White,S2
e000160,2015-04-21,2023-09-01,Sales,Female,Hispanic,M7
e000161,2015-04-30,2019-08-27,Production,Male,Asian,M4
e000162,2015-04-08,2018-09-03,Production,Female,Asian,IC7
e000163,2015-04-23,2021-10-21,Administrative,Female,Asian,S3
e000164,2015-04-22,2021-10-22,Administrative,Male,White,IC7
e000165,2015-04-24,2022-01-12,Administrative,Female,White,IC2
e000166,2015-04-22,2018-01-12,Production,Female,Black,S1
e000167,2015-04-15,2018-10-11,Production,Male,Asian,IC1
e000168,2015-04-24,2019-03-27,Production,Male,Hispanic,IC2
e000169,2015-04-02,2018-09-21,Sales,Male,White,S2
e000170,2015-04-10,2018-07-10,Production,Female,Black,IC9
e000171,2015-04-13,2020-08-13,Administrative,Female,White,IC4
e000172,2015-04-28,2018-08-01,Production,Male,White,M5
e000173,2015-04-07,2019-03-06,Administrative,Female,Hispanic,IC1
e000174,2015-04-27,2018-07-19,Administrative,Female,White,M5
e000175,2015-04-27,2021-10-20,Administrative,Male,Asian,IC4
e000176,2015-04-01,2017-09-29,Production,Female,White,M6
e000177,2015-05-28,2021-04-02,Production,Male,White,M4
e000178,2015-05-12,2019-10-18,Production,Male,Asian,IC6
e000179,2015-05-06,2021-04-13,Production,Male,Hispanic,M6
e000180,2015-05-08,2024-03-11,Production,Female,Black,IC3
e000181,2015-05-11,2019-03-28,Production,Male,White,S1
e000182,2015-05-05,2021-12-24,Production,Male,Asian,M4
e000183,2015-05-04,2023-09-20,Sales,Male,Black,S2
e000184,2015-05-04,2018-11-22,Sales,Male,Asian,M5
e000185,2015-05-14,2021-11-19,Sales,Male,Asian,S2
e000186,2015-05-15,2020-03-20,Administrative,Female,Asian,IC3
e000187,2015-05-07,2019-12-19,Sales,Male,White,S2
e000188,2015-05-08,2023-02-01,Production,Female,Asian,S1
e000189,2015-05-15,2020-03-30,Production,Male,Asian,S2
e000190,2015-05-29,2018-12-24,Sales,Female,Asian,S1
e000191,2015-05-06,2022-10-24,Administrative,Male,White,S3
e000192,2015-05-13,2019-04-05,Production,Male,White,IC1
e000193,2015-05-27,2020-05-14,Production,Male,Asian,IC5
e000194,2015-05-04,2018-07-16,Production,Male,White,IC5
e000195,2015-05-14,2021-12-10,Production,Female,Hispanic,IC2
e000196,2015-07-27,2018-03-20,Production,Male,White,IC7
e000197,2015-07-16,2019-10-02,Administrative,Male,Asian,IC3
e000198,2015-07-30,2022-09-29,Production,Male,Asian,M5
e000199,2015-07-09,2019-04-01,Production,Male,Asian,IC8
e000200,2015-07-20,2017-11-24,Production,Male,White,S3
e000201,2015-07-07,2018-07-03,Production,Female,White,M7
e000202,2015-07-22,2018-09-14,Production,Male,Hispanic,M4
e000203,2015-07-20,2019-04-12,Production,Female,White,M4
e000204,2015-07-24,2023-12-29,Production,Female,White,S3
e000205,2015-07-30,2018-10-31,Production,Female,White,M7
e000206,2015-07-30,2020-01-02,Production,Female,White,IC7
e000207,2015-07-06,2017-06-06,Administrative,Male,Asian,IC3
e000208,2015-08-10,2019-05-23,Production,Male,Hispanic,S3
e000209,2015-08-07,2021-12-13,Sales,Male,Black,M4
e000210,2015-08-05,2018-09-19,Sales,Male,White,M4
e000211,2015-08-10,2020-05-13,Administrative,Female,Asian,IC6
e000212,2015-08-20,2018-02-15,Sales,Female,White,IC3
e000213,2015-08-07,2018-06-07,Production,Male,Asian,S1
e000214,2015-08-17,2020-08-17,Sales,Female,Asian,S2
e000215,2015-08-05,2018-09-13,Administrative,Male,Black,S2
e000216,2015-08-18,2024-07-10,Sales,Male,Asian,IC6
e000217,2015-08-07,2020-12-14,Sales,Female,White,IC4
e000218,2015-08-28,2023-02-14,Sales,Male,Asian,IC5
e000219,2015-08-07,2022-02-15,Sales,Female,Asian,S3
e000220,2015-08-06,2020-08-04,Administrative,Male,Asian,IC1
e000221,2015-08-20,2019-01-28,Production,Male,White,S1
e000222,2015-08-26,2019-05-08,Sales,Female,White,M5
e000223,2015-08-03,2020-01-14,Sales,Female,White,IC3
e000224,2015-08-25,,Administrative,Male,Asian,IC7
e000225,2015-08-12,2021-10-22,Production,Male,Asian,IC4
e000226,2015-08-25,2018-10-26,Sales,Male,White,IC1
e000227,2015-08-19,2019-02-22,Sales,Male,White,IC5
e000228,2015-08-24,2018-03-07,Sales,Female,White,S1
e000229,2015-08-13,2020-09-21,Administrative,Female,Hispanic,IC2
e000230,2015-08-14,2023-08-02,Sales,Male,Asian,IC6
e000231,2015-08-05,2021-05-24,Sales,Male,White,S1
e000232,2015-08-05,2017-10-31,Production,Male,Black,IC3
e000233,2015-08-19,2020-01-20,Production,Female,Asian,IC5
e000234,2015-08-14,2020-02-12,Sales,Female,Black,S1
e000235,2015-09-17,2020-07-17,Production,Female,Black,S2
e000236,2015-09-25,2023-06-22,Production,Female,White,IC4
e000237,2015-09-16,2021-11-04,Sales,Male,Asian,S3
e000238,2015-09-22,2018-03-16,Production,Male,White,S1
e000239,2015-09-28,2021-04-07,Administrative,Male,White,M5
e000240,2015-09-09,2017-09-12,Sales,Male,White,IC7
e000241,2015-09-15,2020-12-10,Administrative,Male,Asian,S2
e000242,2015-09-04,2017-09-05,Sales,Female,Hispanic,IC2
e000243,2015-09-30,2022-02-11,Production,Male,White,S2
e000244,2015-09-08,2023-01-05,Sales,Male,Asian,IC3
e000245,2015-09-15,2020-08-07,Administrative,Female,Asian,M5
e000246,2015-09-16,2017-02-01,Administrative,Male,White,IC1
e000247,2015-09-14,2018-07-26,Administrative,Female,Hispanic,M5
e000248,2015-09-17,2018-10-22,Sales,Female,Asian,S3
e000249,2015-09-15,2019-04-26,Sales,Female,White,IC4
e000250,2015-09-22,2018-07-19,Administrative,Female,White,M7
e000251,2015-09-08,2020-04-03,Sales,Female,Black,IC5
e000252,2015-09-15,2018-11-06,Production,Male,White,S1
e000253,2015-09-11,2018-10-11,Sales,Female,White,IC2
e000254,2015-09-18,2022-03-03,Sales,Female,Asian,IC2
e000255,2015-09-24,2017-06-05,Production,Female,Asian,IC4
e000256,2015-09-30,2018-11-13,Administrative,Male,Asian,S1
e000257,2015-09-01,2017-09-05,Production,Female,White,S2
e000258,2015-09-17,2018-11-08,Administrative,Male,Hispanic,M6
e000259,2015-09-15,2021-12-30,Production,Female,Asian,S1
e000260,2015-09-29,2022-02-14,Administrative,Female,White,S2
e000261,2015-09-09,2022-12-08,Sales,Male,Asian,M5
e000262,2015-09-24,2020-03-11,Administrative,Male,White,S1
e000263,2015-09-25,2023-04-26,Production,Male,White,S1
e000264,2015-10-15,2024-02-28,Production,Male,Hispanic,IC3
e000265,2015-10-15,2020-12-15,Sales,Male,White,IC1
e000266,2015-10-08,2022-10-20,Production,Male,Asian,S3
e000267,2015-10-08,2018-07-02,Production,Male,Asian,IC7
e000268,2015-10-07,2018-10-05,Sales,Female,Asian,M6
e000269,2015-10-19,2019-04-23,Administrative,Male,Asian,M5
e000270,2015-10-15,2020-07-14,Sales,Male,White,S1
e000271,2015-10-12,2018-01-22,Administrative,Female,Asian,S2
e000272,2015-10-23,2019-10-03,Production,Male,Black,IC1
e000273,2015-10-14,2019-03-11,Production,Male,Asian,IC2
e000274,2015-10-30,2024-02-19,Sales,Male,Hispanic,IC1
e000275,2015-10-09,2018-03-09,Administrative,Female,Black,S1
e000276,2015-10-12,2024-02-28,Sales,Male,Asian,IC4
e000277,2015-10-08,2020-01-17,Administrative,Female,Asian,IC2
e000278,2015-10-29,2017-10-09,Administrative,Male,White,M8
e000279,2015-10-30,2019-01-29,Administrative,Female,White,S2
e000280,2015-10-21,2018-08-23,Production,Male,Asian,S2
e000281,2015-10-30,2017-10-27,Sales,Male,Asian,IC5
e000282,2015-10-13,2021-10-04,Sales,Female,Asian,M4
e000283,2015-10-23,2017-09-01,Sales,Male,White,S2
e000284,2015-10-09,2020-08-14,Sales,Female,Black,M6
e000285,2015-10-16,2018-10-26,Sales,Male,White,IC3
e000286,2015-10-09,2020-11-13,Sales,Male,Asian,S1
e000287,2015-10-05,2017-09-13,Sales,Female,Asian,S2
e000288,2015-10-05,2021-04-06,Sales,Male,Asian,M4
e000289,2015-10-29,,Administrative,Female,Asian,IC3
e000290,2015-10-06,2018-10-29,Sales,Female,Black,IC1
e000291,2015-10-30,2023-03-29,Production,Female,White,IC6
e000292,2015-10-02,2024-03-13,Administrative,Male,Asian,IC1
e000293,2015-10-21,2017-09-04,Sales,Male,Asian,IC2
e000294,2015-10-15,2020-05-27,Administrative,Male,Hispanic,IC1
e000295,2015-10-19,2017-03-02,Sales,Male,Asian,M4
e000296,2015-10-08,2022-09-16,Administrative,Female,White,M5
e000297,2015-10-08,2019-04-17,Administrative,Female,Asian,IC4
e000298,2015-10-21,2020-01-17,Administrative,Male,Asian,S1
e000299,2015-10-30,2018-10-09,Sales,Female,Black,IC3
e000300,2015-10-22,2017-09-29,Administrative,Male,White,S3
e000301,2015-10-15,2021-10-04,Administrative,Female,Asian,IC6
e000302,2015-11-13,2020-03-02,Sales,Male,White,IC6
e000303,2015-11-20,2018-06-05,Production,Female,White,S2
e000304,2015-11-11,2018-07-10,Administrative,Male,Asian,IC3
e000305,2015-11-30,2021-02-11,Administrative,Female,Hispanic,IC7
e000306,2015-11-30,2019-07-12,Production,Female,Asian,IC4
e000307,2015-11-05,2018-10-30,Administrative,Male,Asian,IC4
e000308,2015-12-24,2018-01-10,Administrative,Female,Hispanic,IC1
e000309,2015-12-11,2017-09-21,Administrative,Female,Asian,IC2
e000310,2015-12-01,2020-11-30,Administrative,Male,White,S1
e000311,2015-12-14,2018-09-26,Production,Male,Asian,S3
e000312,2015-12-24,2017-11-15,Sales,Male,Asian,M6
e000313,2015-12-25,2018-02-22,Production,Male,Asian,IC7
e000314,2015-12-30,2020-11-05,Production,Male,White,S2
e000315,2015-12-03,2022-02-07,Production,Female,Asian,IC6
e000316,2016-01-04,2019-10-15,Administrative,Female,Asian,IC7
e000317,2016-01-07,2019-08-20,Production,Male,Asian,IC5
e000318,2016-01-18,2017-09-26,Sales,Male,White,IC5
e000319,2016-01-18,2018-10-11,Sales,Male,White,IC6
e000320,2016-01-26,2019-03-13,Administrative,Female,White,S3
e000321,2016-01-18,2019-05-20,Production,Male,Black,IC4
e000322,2016-01-26,2018-09-24,Administrative,Male,Asian,IC8
e000323,2016-01-26,2021-03-02,Production,Male,Asian,IC2
e000324,2016-01-08,2019-01-30,Sales,Female,Asian,IC4
e000325,2016-01-15,2018-03-15,Sales,Female,Asian,IC2
e000326,2016-01-25,2021-10-07,Sales,Female,White,IC1
e000327,2016-01-20,2018-09-05,Sales,Male,Asian,S1
e000328,2016-01-07,2019-04-24,Administrative,Male,White,S3
e000329,2016-01-04,2022-10-04,Production,Female,Asian,IC3
e000330,2016-02-26,2018-01-02,Sales,Male,Asian,IC5
e000331,2016-02-02,2023-08-28,Production,Male,Black,S1
e000332,2016-02-10,2023-09-01,Production,Male,Asian,IC4
e000333,2016-02-23,2018-09-14,Sales,Female,White,IC2
e000334,2016-03-04,2024-01-05,Production,Male,Asian,IC8
e000335,2016-03-08,2018-08-22,Production,Male,Asian,IC5
e000336,2016-03-28,2024-03-11,Sales,Male,Asian,IC5
e000337,2016-03-03,2021-10-18,Administrative,Male,Asian,IC6
e000338,2016-03-01,2018-10-22,Sales,Female,Asian,IC1
e000339,2016-03-28,2023-03-02,Production,Male,Asian,IC1
e000340,2016-03-25,2023-06-30,Sales,Female,Hispanic,M5
e000341,2016-03-31,2018-05-03,Sales,Male,White,S1
e000342,2016-03-23,2021-10-26,Production,Male,Asian,IC2
e000343,2016-03-24,2017-11-01,Sales,Male,Asian,M6
e000344,2016-03-04,2019-04-04,Sales,Female,Asian,IC6
e000345,2016-03-17,2017-02-23,Sales,Female,Asian,IC2
e000346,2016-03-09,2018-06-15,Sales,Male,Asian,IC2
e000347,2016-03-16,2018-07-26,Sales,Male,Hispanic,IC5
e000348,2016-03-07,2023-02-24,Administrative,Female,Asian,M4
e000349,2016-03-30,2021-07-20,Production,Female,White,IC5
e000350,2016-03-18,2020-01-14,Sales,Female,Asian,M5
e000351,2016-03-28,2018-03-06,Administrative,Male,Asian,IC2
e000352,2016-03-16,2018-08-08,Administrative,Male,White,IC3
e000353,2016-04-21,2018-07-20,Administrative,Female,Hispanic,S2
e000354,2016-04-01,2017-10-03,Production,Male,Black,IC6
e000355,2016-04-27,2017-10-19,Production,Male,Asian,M4
e000356,2016-04-12,2018-07-05,Sales,Male,White,IC6
e000357,2016-04-11,2018-05-01,Production,Male,Asian,IC3
e000358,2016-04-20,2019-10-08,Administrative,Female,Asian,IC2
e000359,2016-04-07,2019-04-24,Production,Male,Asian,S3
e000360,2016-04-15,2018-10-04,Administrative,Female,White,S2
e000361,2016-04-21,2020-04-10,Production,Male,Asian,M4
e000362,2016-04-28,2017-09-05,Administrative,Female,Hispanic,M4
e000363,2016-04-27,2019-03-27,Sales,Female,White,M4
e000364,2016-04-22,2017-09-27,Sales,Male,Asian,IC3
e000365,2016-04-01,2017-06-09,Sales,Female,Asian,IC1
e000366,2016-04-27,2020-11-18,Administrative,Female,Hispanic,M5
e000367,2016-04-01,2023-03-09,Production,Male,Hispanic,IC6
e000368,2016-04-25,2018-07-20,Administrative,Male,Asian,IC7
e000369,2016-04-06,2018-08-24,Production,Male,Asian,S1
e000370,2016-04-20,2018-09-28,Sales,Male,Asian,IC5
e000371,2016-04-05,2023-11-02,Administrative,Female,Asian,IC3
e000372,2016-05-17,2019-01-17,Sales,Male,Asian,IC2
e000373,2016-05-16,2020-02-13,Administrative,Male,Asian,IC6
e000374,2016-05-13,2017-11-30,Production,Male,Asian,S2
e000375,2016-05-13,2019-07-24,Production,Female,Asian,IC9
e000376,2016-06-30,2019-10-28,Production,Male,Asian,M5
e000377,2016-06-13,2019-08-30,Administrative,Male,Asian,M4
e000378,2016-06-28,2022-02-03,Administrative,Female,Asian,S3
e000379,2016-06-08,2021-10-12,Production,Male,Asian,S3
e000380,2016-06-28,2018-10-16,Production,Male,Asian,IC5
e000381,2016-06-03,2019-09-13,Administrative,Male,Asian,IC5
e000382,2016-06-30,2017-02-20,Administrative,Male,Asian,IC4
e000383,2016-06-03,2022-02-08,Administrative,Male,Asian,S3
e000384,2016-06-16,2023-04-25,Sales,Female,Hispanic,IC4
e000385,2016-06-02,2021-04-22,Administrative,Male,Asian,M6
e000386,2016-06-30,2017-02-09,Production,Female,Asian,IC4
e000387,2016-06-13,2018-08-01,Administrative,Male,Asian,IC3
e000388,2016-06-03,2018-04-23,Production,Male,Asian,S2
e000389,2016-06-02,2023-08-22,Sales,Male,Hispanic,IC1
e000390,2016-06-16,2020-09-17,Sales,Male,Black,IC4
e000391,2016-06-13,2021-10-13,Production,Male,Asian,IC6
e000392,2016-06-22,2019-12-27,Sales,Male,Black,IC5
e000393,2016-06-21,2018-07-31,Administrative,Male,Asian,S1
e000394,2016-06-13,2021-10-05,Administrative,Male,Asian,M4
e000395,2016-06-22,2023-08-22,Administrative,Male,Asian,IC3
e000396,2016-06-22,2018-08-02,Administrative,Female,Asian,IC1
e000397,2016-06-09,2017-02-09,Sales,Male,Asian,IC3
e000398,2016-06-13,2019-01-10,Production,Female,Asian,M9
e000399,2016-06-01,2018-07-09,Production,Male,Asian,S1
e000400,2016-06-22,2018-07-03,Production,Female,White,IC5
e000401,2016-06-30,2017-10-17,Administrative,Male,Hispanic,S2
e000402,2016-06-15,2020-04-14,Administrative,Male,Black,IC5
e000403,2016-06-21,2022-08-12,Production,Male,Asian,IC1
e000404,2016-06-02,2022-08-02,Production,Female,Asian,IC6
e000405,2016-06-27,2022-10-07,Administrative,Female,Black,IC1
e000406,2016-06-02,2019-04-18,Sales,Male,Asian,S2
e000407,2016-06-13,2020-03-27,Administrative,Female,Black,S1
e000408,2016-06-09,2017-04-25,Administrative,Female,Asian,IC6
e000409,2016-06-29,2021-05-19,Administrative,Male,Black,IC6
e000410,2016-06-14,2019-05-21,Sales,Female,Asian,S2
e000411,2016-06-16,2018-07-02,Production,Male,Black,IC3
e000412,2016-06-27,2020-08-24,Production,Male,Asian,IC2
e000413,2016-06-08,2019-01-21,Production,Male,White,IC1
e000414,2016-07-27,2020-02-21,Production,Female,Asian,S1
e000415,2016-07-26,2019-11-29,Administrative,Male,Asian,S3
e000416,2016-07-27,2018-06-19,Production,Female,Asian,IC2
e000417,2016-07-04,2019-08-08,Production,Female,Asian,S3
e000418,2016-07-01,2023-02-23,Sales,Male,Asian,S2
e000419,2016-07-06,2018-08-23,Production,Male,Asian,IC7
e000420,2016-07-07,2020-07-03,Production,Male,Asian,IC4
e000421,2016-07-15,2017-09-04,Administrative,Female,Asian,S2
e000422,2016-07-07,2022-08-04,Production,Male,Asian,IC8
e000423,2016-07-06,2023-12-13,Administrative,Male,Asian,S3
e000424,2016-07-25,2019-04-09,Sales,Male,Asian,S1
e000425,2016-07-21,2018-09-06,Production,Male,White,IC5
e000426,2016-07-01,2023-06-20,Administrative,Female,Asian,S3
e000427,2016-07-26,2023-08-30,Production,Male,Asian,IC2
e000428,2016-07-29,2017-11-15,Production,Female,Asian,IC3
e000429,2016-08-31,2020-11-03,Production,Male,White,IC7
e000430,2016-08-05,2023-12-25,Administrative,Female,Asian,IC5
e000431,2016-08-26,2021-10-12,Sales,Male,Asian,IC2
e000432,2016-08-17,2019-10-14,Administrative,Male,Asian,IC1
e000433,2016-10-31,2020-11-06,Production,Male,Asian,M5
e000434,2016-10-31,2020-04-01,Production,Female,Hispanic,M4
e000435,2016-10-24,2020-01-23,Administrative,Male,Asian,IC1
e000436,2016-10-06,2023-04-26,Administrative,Female,Asian,IC1
